query_id,variant,context_relevance,answer_relevance,faithfulness,context_precision,context_recall,bertscore_p,bertscore_r,bertscore_f1
Q039,V1,,,,,,,,
Q039,V2,,,,,,,,
Q039,V3,,,,,,,,
Q040,V1,,,,,,,,
Q040,V2,,,,,,,,
Q040,V3,,,,,,,,
Q041,V1,,,,,,,,
Q041,V2,,,,,,,,
Q041,V3,,,,,,,,
Q042,V1,,,,,,,,
Q042,V2,,,,,,,,
Q042,V3,,,,,,,,
Q043,V1,,,,,,,,
Q043,V2,,,,,,,,
Q043,V3,,,,,,,,
Q044,V1,,,,,,,,
Q044,V2,,,,,,,,
Q044,V3,,,,,,,,
Q045,V1,,,,,,,,
Q045,V2,,,,,,,,
Q045,V3,,,,,,,,
Q046,V1,,,,,,,,
Q046,V2,,,,,,,,
Q046,V3,,,,,,,,
Q047,V1,,,,,,,,
Q047,V2,,,,,,,,
Q047,V3,,,,,,,,
Q048,V1,,,,,,,,
Q048,V2,,,,,,,,
Q048,V3,,,,,,,,
Q049,V1,,,,,,,,
Q049,V2,,,,,,,,
Q049,V3,,,,,,,,
Q050,V1,,,,,,,,
Q050,V2,,,,,,,,
Q050,V3,,,,,,,,
Q051,V1,,,,,,,,
Q051,V2,,,,,,,,
Q051,V3,,,,,,,,
Q052,V1,,,,,,,,
Q052,V2,,,,,,,,
Q052,V3,,,,,,,,
Q053,V1,,,,,,,,
Q053,V2,,,,,,,,
Q053,V3,,,,,,,,
Q054,V1,,,,,,,,
Q054,V2,,,,,,,,
Q054,V3,,,,,,,,
Q055,V1,,,,,,,,
Q055,V2,,,,,,,,
Q055,V3,,,,,,,,
Q056,V1,,,,,,,,
Q056,V2,,,,,,,,
Q056,V3,,,,,,,,
Q057,V1,,,,,,,,
Q057,V2,,,,,,,,
Q057,V3,,,,,,,,
Q058,V1,,,,,,,,
Q058,V2,,,,,,,,
Q058,V3,,,,,,,,
Q059,V1,,,,,,,,
Q059,V2,,,,,,,,
Q059,V3,,,,,,,,
Q060,V1,,,,,,,,
Q060,V2,,,,,,,,
Q060,V3,,,,,,,,
Q061,V1,,,,,,,,
Q061,V2,,,,,,,,
Q061,V3,,,,,,,,
Q062,V1,,,,,,,,
Q062,V2,,,,,,,,
Q062,V3,,,,,,,,
Q063,V1,,,,,,,,
Q063,V2,,,,,,,,
Q063,V3,,,,,,,,
Q064,V1,,,,,,,,
Q064,V2,,,,,,,,
Q064,V3,,,,,,,,
Q065,V1,,,,,,,,
Q065,V2,,,,,,,,
Q065,V3,,,,,,,,
Q066,V1,,,,,,,,
Q066,V2,,,,,,,,
Q066,V3,,,,,,,,
Q067,V1,,,,,,,,
Q067,V2,,,,,,,,
Q067,V3,,,,,,,,
Q068,V1,,,,,,,,
Q068,V2,,,,,,,,
Q068,V3,,,,,,,,
Q069,V1,,,,,,,,
Q069,V2,,,,,,,,
Q069,V3,,,,,,,,
Q070,V1,,,,,,,,
Q070,V2,,,,,,,,
Q070,V3,,,,,,,,
Q071,V1,,,,,,,,
Q071,V2,,,,,,,,
Q071,V3,,,,,,,,
Q072,V1,,,,,,,,
Q072,V2,,,,,,,,
Q072,V3,,,,,,,,
Q073,V1,,,,,,,,
Q073,V2,,,,,,,,
Q073,V3,,,,,,,,
Q074,V1,,,,,,,,
Q074,V2,,,,,,,,
Q074,V3,,,,,,,,
Q075,V1,,,,,,,,
Q075,V2,,,,,,,,
Q075,V3,,,,,,,,
Q076,V1,,,,,,,,
Q076,V2,,,,,,,,
Q076,V3,,,,,,,,
Q077,V1,,,,,,,,
Q077,V2,,,,,,,,
Q077,V3,,,,,,,,
Q078,V1,,,,,,,,
Q078,V2,,,,,,,,
Q078,V3,,,,,,,,
Q079,V1,,,,,,,,
Q079,V2,,,,,,,,
Q079,V3,,,,,,,,
Q080,V1,,,,,,,,
Q080,V2,,,,,,,,
Q080,V3,,,,,,,,
Q081,V1,,,,,,,,
Q081,V2,,,,,,,,
Q081,V3,,,,,,,,
Q082,V1,,,,,,,,
Q082,V2,,,,,,,,
Q082,V3,,,,,,,,
Q083,V1,,,,,,,,
Q083,V2,,,,,,,,
Q083,V3,,,,,,,,
Q084,V1,,,,,,,,
Q084,V2,,,,,,,,
Q084,V3,,,,,,,,
Q085,V1,,,,,,,,
Q085,V2,,,,,,,,
Q085,V3,,,,,,,,
Q086,V1,,,,,,,,
Q086,V2,,,,,,,,
Q086,V3,,,,,,,,
Q087,V1,,,,,,,,
Q087,V2,,,,,,,,
Q087,V3,,,,,,,,
Q088,V1,,,,,,,,
Q088,V2,,,,,,,,
Q088,V3,,,,,,,,
Q089,V1,,,,,,,,
Q089,V2,,,,,,,,
Q089,V3,,,,,,,,
Q090,V1,,,,,,,,
Q090,V2,,,,,,,,
Q090,V3,,,,,,,,
Q091,V1,,,,,,,,
Q091,V2,,,,,,,,
Q091,V3,,,,,,,,
Q092,V1,,,,,,,,
Q092,V2,,,,,,,,
Q092,V3,,,,,,,,
Q093,V1,,,,,,,,
Q093,V2,,,,,,,,
Q093,V3,,,,,,,,
Q094,V1,,,,,,,,
Q094,V2,,,,,,,,
Q094,V3,,,,,,,,
Q095,V1,,,,,,,,
Q095,V2,,,,,,,,
Q095,V3,,,,,,,,
Q096,V1,,,,,,,,
Q096,V2,,,,,,,,
Q096,V3,,,,,,,,
Q097,V1,,,,,,,,
Q097,V2,,,,,,,,
Q097,V3,,,,,,,,
Q098,V1,,,,,,,,
Q098,V2,,,,,,,,
Q098,V3,,,,,,,,
Q099,V1,,,,,,,,
Q099,V2,,,,,,,,
Q099,V3,,,,,,,,
Q100,V1,,,,,,,,
Q100,V2,,,,,,,,
Q100,V3,,,,,,,,
