query_id,topic,difficulty,topic_slot,query_text,reference_answer,review_status,draft_source,notes
Q011,rbac_and_service_accounts,basic,rbac_and_service_accounts__01,What does least-privilege RBAC mean in Kubernetes?,"Least privilege means granting only the exact verbs, resources, and namespaces that a user or workload needs. The default posture should be minimal access, with additional permissions added only when clearly justified.",reviewed_seed,structured_seed_then_manual_refinement,
Q012,rbac_and_service_accounts,basic,rbac_and_service_accounts__02,Why is using the default service account risky for application pods?,"Pods may inherit the default service account automatically even when they do not need API access. If that service account has more rights than expected, a pod compromise can spread further than intended.",reviewed_seed,structured_seed_then_manual_refinement,
Q013,rbac_and_service_accounts,basic,rbac_and_service_accounts__03,What is the difference between a Role and a ClusterRole in Kubernetes RBAC?,"A Role is scoped to one namespace, while a ClusterRole is cluster-scoped or reusable across namespaces. This distinction matters because cluster-wide permissions usually have a much larger blast radius.",reviewed_seed,structured_seed_then_manual_refinement,
Q014,rbac_and_service_accounts,intermediate,rbac_and_service_accounts__04,How should I grant a workload access to only one namespace?,"Create a dedicated service account, define a Role in the target namespace, and bind that Role to the service account with a RoleBinding. This keeps permissions local to the namespace instead of widening them unnecessarily.",reviewed_seed,structured_seed_then_manual_refinement,
Q015,rbac_and_service_accounts,intermediate,rbac_and_service_accounts__05,Why can list or watch access on Secrets be as sensitive as get access?,"Because list and watch can expose many secret values at once, not just one object. In practice, broad read-style access to Secrets often gives an attacker nearly the same sensitive data as direct get access.",reviewed_seed,structured_seed_then_manual_refinement,
Q016,rbac_and_service_accounts,intermediate,rbac_and_service_accounts__06,How do I reduce privilege escalation through workload creation rights?,"Be very careful with create rights on Pods, Deployments, Jobs, and similar workload resources. A user who can create workloads may be able to mount Secrets, use powerful service accounts, or request dangerous host access indirectly.",reviewed_seed,structured_seed_then_manual_refinement,
Q017,rbac_and_service_accounts,intermediate,rbac_and_service_accounts__07,How should I audit dangerous RBAC permissions first?,"Review cluster-admin style access first, then check for impersonate, bind, escalate, Secrets access, nodes/proxy access, and workload creation rights. Those permissions are common starting points for privilege escalation and lateral movement.",reviewed_seed,structured_seed_then_manual_refinement,
Q018,rbac_and_service_accounts,intermediate,rbac_and_service_accounts__08,When should I use separate service accounts for different applications?,"Use separate service accounts whenever the applications have different trust levels or different permission needs. This reduces blast radius and makes reviews, rotation, and auditing easier.",reviewed_seed,structured_seed_then_manual_refinement,
Q019,rbac_and_service_accounts,advanced,rbac_and_service_accounts__09,How do the bind and escalate verbs increase RBAC risk?,"They let a subject grant roles or create stronger roles beyond its ordinary permissions, which can bypass normal RBAC guardrails. These verbs should be treated as highly sensitive and granted rarely.",reviewed_seed,structured_seed_then_manual_refinement,
Q020,rbac_and_service_accounts,advanced,rbac_and_service_accounts__10,How should I control cross-namespace access for an operator?,Give the operator a dedicated identity and explicitly bind only the namespaces and resources it truly needs. Avoid broad cluster-admin grants when a narrower cross-namespace design is possible.,reviewed_seed,structured_seed_then_manual_refinement,
Q021,pod_security_and_admission_control,basic,pod_security_and_admission_control__01,What does Pod Security Admission do in Kubernetes?,"Pod Security Admission checks pod specifications against the Pod Security Standards at admission time. It helps block risky settings such as privileged mode, dangerous host access, and other weak isolation choices.",reviewed_seed,structured_seed_then_manual_refinement,
Q022,pod_security_and_admission_control,basic,pod_security_and_admission_control__02,Why should most application namespaces aim for the Restricted Pod Security policy?,Restricted blocks many common privilege escalation paths and reflects modern pod-hardening expectations. For ordinary application workloads it is usually the best default target if compatibility allows it.,reviewed_seed,structured_seed_then_manual_refinement,
Q023,pod_security_and_admission_control,basic,pod_security_and_admission_control__03,Why are privileged containers dangerous in a hardened cluster?,Privileged containers can access host-level capabilities and often break the normal isolation boundary between pod and node. That makes container compromise far more serious.,reviewed_seed,structured_seed_then_manual_refinement,
Q024,pod_security_and_admission_control,intermediate,pod_security_and_admission_control__04,How should I roll out Pod Security Admission without breaking existing workloads?,"Start with audit and warn modes, inspect the violations, fix the manifests, and only then move to enforce mode. That phased rollout reduces surprise failures while still improving security steadily.",reviewed_seed,structured_seed_then_manual_refinement,
Q025,pod_security_and_admission_control,intermediate,pod_security_and_admission_control__05,Which securityContext fields should I review first when hardening pods?,"Start with privileged, allowPrivilegeEscalation, runAsNonRoot, capabilities, host namespaces, hostPath volumes, and seccomp or similar runtime controls. Those fields often determine whether a pod can bypass basic isolation.",reviewed_seed,structured_seed_then_manual_refinement,
Q026,pod_security_and_admission_control,intermediate,pod_security_and_admission_control__06,How can admission control help beyond Pod Security Admission?,"Custom admission policies can enforce organization-specific rules such as approved registries, required labels, image signatures, resource policies, or restricted annotations. That lets you cover controls that Pod Security Admission does not enforce by itself.",reviewed_seed,structured_seed_then_manual_refinement,
Q027,pod_security_and_admission_control,intermediate,pod_security_and_admission_control__07,When should I use namespace exemptions from Pod Security Admission?,"Only when there is a clear operational reason, such as essential system components that cannot yet meet the policy. Exemptions should be narrow, documented, and reviewed regularly.",reviewed_seed,structured_seed_then_manual_refinement,
Q028,pod_security_and_admission_control,intermediate,pod_security_and_admission_control__08,How do RuntimeClass and sandboxed runtimes fit into pod hardening?,"They add another isolation layer by running selected workloads with a stronger runtime boundary such as gVisor or Kata. They do not replace policy controls, but they can reduce impact for higher-risk workloads.",reviewed_seed,structured_seed_then_manual_refinement,
Q029,pod_security_and_admission_control,advanced,pod_security_and_admission_control__09,How should I combine Pod Security Admission with custom policy engines such as Kyverno or Gatekeeper?,"Use Pod Security Admission for broad baseline platform hardening, then use a custom policy engine for rules that are specific to your organization. This layered approach keeps the baseline simple while allowing targeted extra controls.",reviewed_seed,structured_seed_then_manual_refinement,
Q030,pod_security_and_admission_control,advanced,pod_security_and_admission_control__10,What is a safe way to harden legacy workloads that still fail the Restricted policy?,"Inventory the failing controls, fix the easiest ones first, isolate the legacy workloads, and keep pressure on remediation with clear milestones. Use audit and warn modes during the transition, not permanent broad exceptions.",reviewed_seed,structured_seed_then_manual_refinement,
Q031,secrets_handling,basic,secrets_handling__01,Why should I avoid storing plaintext secrets in Git for Kubernetes deployments?,"Git spreads secrets widely through clones, backups, and history, and removal later is difficult. Plaintext secrets in source control often become long-term exposure points.",reviewed_seed,structured_seed_then_manual_refinement,
Q032,secrets_handling,basic,secrets_handling__02,What is the main limitation of a Kubernetes Secret by itself?,"A Secret is an API object with basic access control and encoding, but it is not a full secret-management system on its own. Its safety still depends heavily on RBAC, encryption, and how the secret is delivered and rotated.",reviewed_seed,structured_seed_then_manual_refinement,
Q033,secrets_handling,basic,secrets_handling__03,Why should I avoid mounting more secrets than a pod actually needs?,Every extra secret increases blast radius if the pod is compromised. The pod should receive only the specific secret material it needs for that workload.,reviewed_seed,structured_seed_then_manual_refinement,
Q034,secrets_handling,intermediate,secrets_handling__04,How should I deliver database credentials to an application pod safely?,"Use a dedicated secret or an external secret manager integration, scope it to the right namespace and identity, and mount only the values the pod needs. The design should also include a rotation plan.",reviewed_seed,structured_seed_then_manual_refinement,
Q035,secrets_handling,intermediate,secrets_handling__05,When should I prefer short-lived credentials over long-lived secret values in Kubernetes?,"Use short-lived credentials whenever the system supports them because they reduce the theft window and make rotation safer. Long-lived static secrets should be the exception, not the default.",reviewed_seed,structured_seed_then_manual_refinement,
Q036,secrets_handling,intermediate,secrets_handling__06,How should I restrict who can read secrets in a Kubernetes cluster?,"Use tight RBAC, separate identities, and namespace boundaries, and avoid broad get, list, or watch access on Secret objects. Secret readers should be explicit and rare.",reviewed_seed,structured_seed_then_manual_refinement,
Q037,secrets_handling,intermediate,secrets_handling__07,What is the risk of storing service account tokens or cloud credentials as generic static Secrets?,Static copies bypass stronger lifetime and audience controls and are harder to rotate and audit. They can turn short-lived or context-bound credentials into long-lived stolen artifacts.,reviewed_seed,structured_seed_then_manual_refinement,
Q038,secrets_handling,intermediate,secrets_handling__08,How should I rotate secrets without causing outages for workloads?,"Use overlapping validity, staged rollout, health checks, and an application design that can reload or restart cleanly. Rotation should be tested regularly so it is not a one-time emergency procedure.",reviewed_seed,structured_seed_then_manual_refinement,
Q039,secrets_handling,advanced,secrets_handling__09,What is a safe pattern for syncing an external secret manager into Kubernetes?,"Keep the sync scope narrow, map values only into the required namespaces and identities, and audit both sync activity and secret consumers. Avoid over-privileged secret-sync controllers that can read everything in the cluster.",reviewed_seed,structured_seed_then_manual_refinement,
Q040,secrets_handling,advanced,secrets_handling__10,"How do I reduce secret exposure in logs, debug output, and troubleshooting data?","Redact sensitive fields, avoid printing secret values, restrict who can access logs and support bundles, and review observability pipelines for accidental secret leakage. Debugging should never require exposing the secret itself.",reviewed_seed,structured_seed_then_manual_refinement,
Q041,network_policy_and_traffic_isolation,basic,network_policy_and_traffic_isolation__01,What does a Kubernetes NetworkPolicy control?,"A NetworkPolicy controls which pods or endpoints can communicate with a pod for selected directions and ports, depending on CNI support. It is one of the main tools for reducing lateral movement inside the cluster.",reviewed_seed,structured_seed_then_manual_refinement,
Q042,network_policy_and_traffic_isolation,basic,network_policy_and_traffic_isolation__02,Why is default-allow pod networking risky in a multi-service cluster?,"If most workloads can talk to everything, a compromised pod can scan and move laterally much more easily. Default-allow networking creates unnecessary internal exposure.",reviewed_seed,structured_seed_then_manual_refinement,
Q043,network_policy_and_traffic_isolation,basic,network_policy_and_traffic_isolation__03,What is a safe first step for network isolation in Kubernetes?,A common safe start is to apply default-deny for ingress and then allow only the required application flows. This makes connectivity intentional instead of accidental.,reviewed_seed,structured_seed_then_manual_refinement,
Q044,network_policy_and_traffic_isolation,intermediate,network_policy_and_traffic_isolation__04,How should I allow only a frontend service to talk to a backend database?,"Use labels and a default-deny policy, then create a narrow allow rule from the frontend pods or namespace to the database port only. Avoid broader allow rules that include unrelated workloads.",reviewed_seed,structured_seed_then_manual_refinement,
Q045,network_policy_and_traffic_isolation,intermediate,network_policy_and_traffic_isolation__05,Why should I check CNI support before relying on NetworkPolicy?,"Not every CNI enforces the same policy features, so unsupported policies can create a false sense of safety. The cluster team should confirm what is actually enforced in the chosen network stack.",reviewed_seed,structured_seed_then_manual_refinement,
Q046,network_policy_and_traffic_isolation,intermediate,network_policy_and_traffic_isolation__06,How do egress policies help with Kubernetes security?,They limit outbound connections so workloads can talk only to approved destinations. This reduces exfiltration paths and makes command-and-control traffic harder after compromise.,reviewed_seed,structured_seed_then_manual_refinement,
Q047,network_policy_and_traffic_isolation,intermediate,network_policy_and_traffic_isolation__07,How should I handle DNS when I introduce strict network policies?,You usually need an explicit rule that still allows pods to reach the cluster DNS service. Otherwise normal application name resolution can fail and cause confusion during rollout.,reviewed_seed,structured_seed_then_manual_refinement,
Q048,network_policy_and_traffic_isolation,intermediate,network_policy_and_traffic_isolation__08,Why are hostNetwork pods a concern in a hardened cluster?,"hostNetwork shares the node network namespace, which can bypass normal pod-level network isolation. It should be reserved for carefully justified cases.",reviewed_seed,structured_seed_then_manual_refinement,
Q049,network_policy_and_traffic_isolation,advanced,network_policy_and_traffic_isolation__09,How should I isolate tenant namespaces from each other on the network layer?,"Use namespace-scoped default-deny rules, explicit ingress and egress allowlists, and narrowly defined shared-service exceptions. Tenant isolation should be intentional, not left to default connectivity.",reviewed_seed,structured_seed_then_manual_refinement,
Q050,network_policy_and_traffic_isolation,advanced,network_policy_and_traffic_isolation__10,What extra controls are useful when NetworkPolicy alone is not enough?,"Additional controls can include service mesh policy, egress gateways, firewalls, admission rules, and stronger identity and runtime controls. NetworkPolicy is important, but it is not the only layer.",reviewed_seed,structured_seed_then_manual_refinement,
Q051,etcd_and_data_protection,basic,etcd_and_data_protection__01,Why is etcd one of the most sensitive components in a Kubernetes cluster?,"etcd stores core cluster state, including Secrets and control-plane data, so strong access to etcd often means strong access to the whole cluster. Direct etcd compromise can become cluster compromise quickly.",reviewed_seed,structured_seed_then_manual_refinement,
Q052,etcd_and_data_protection,basic,etcd_and_data_protection__02,Why should confidential Kubernetes data be encrypted at rest?,"Encryption at rest reduces exposure if disks, snapshots, or storage backups are accessed by an attacker. It adds protection beyond ordinary API-layer access control.",reviewed_seed,structured_seed_then_manual_refinement,
Q053,etcd_and_data_protection,basic,etcd_and_data_protection__03,What is the minimum safe network posture for etcd?,"etcd should be private, authenticated, and encrypted with TLS, and it should not be reachable from workloads. Only the intended control-plane components and administrators should reach it.",reviewed_seed,structured_seed_then_manual_refinement,
Q054,etcd_and_data_protection,intermediate,etcd_and_data_protection__04,How should I protect etcd backups in Kubernetes?,"Treat them like high-sensitivity secrets: encrypt them, restrict access tightly, separate storage, and test restore procedures. A backup can be just as dangerous as the live data if exposed.",reviewed_seed,structured_seed_then_manual_refinement,
Q055,etcd_and_data_protection,intermediate,etcd_and_data_protection__05,What is the risk of leaving old encryption keys active forever in a cluster?,Compromised old keys may still decrypt stored data or complicate confident recovery. Key rotation needs an end state where obsolete keys are removed after safe migration.,reviewed_seed,structured_seed_then_manual_refinement,
Q056,etcd_and_data_protection,intermediate,etcd_and_data_protection__06,How should I rotate encryption keys or providers for Kubernetes secrets at rest?,"Add the new key or provider, re-encrypt the data, validate that reads and writes still work, and then retire the old key after the migration is confirmed. Rotation should be planned, not improvised.",reviewed_seed,structured_seed_then_manual_refinement,
Q057,etcd_and_data_protection,intermediate,etcd_and_data_protection__07,Why do API server and etcd certificate settings matter for cluster security?,"Weak, expired, or mis-scoped certificates can break trust or expose control-plane traffic to interception. Certificate management is part of protecting the control-plane data path.",reviewed_seed,structured_seed_then_manual_refinement,
Q058,etcd_and_data_protection,intermediate,etcd_and_data_protection__08,How should I reduce exposure from control-plane snapshots and stored state copies?,"Limit who can create and access snapshots, encrypt them, set retention rules, and log administrative access. Every copy of cluster state should be treated as sensitive data.",reviewed_seed,structured_seed_then_manual_refinement,
Q059,etcd_and_data_protection,advanced,etcd_and_data_protection__09,What is a safe disaster-recovery practice for encrypted Kubernetes data?,Test restoring both the data and the required keys or configuration together in an isolated environment. Recovery plans that ignore the key material are incomplete and risky.,reviewed_seed,structured_seed_then_manual_refinement,
Q060,etcd_and_data_protection,advanced,etcd_and_data_protection__10,How do I stop workloads from reaching control-plane data paths indirectly?,"Use network segmentation, harden nodes, and prevent dangerous pod features such as unnecessary hostPath or hostNetwork access. The goal is to stop workloads from bridging into control-plane systems.",reviewed_seed,structured_seed_then_manual_refinement,
Q061,image_and_supply_chain_security,basic,image_and_supply_chain_security__01,Why should I avoid using latest tags for production container images?,"latest is mutable, so the same deployment can pull different code at different times. That weakens traceability, change control, and incident response.",reviewed_seed,structured_seed_then_manual_refinement,
Q062,image_and_supply_chain_security,basic,image_and_supply_chain_security__02,What is the advantage of pinning container images by digest?,"A digest pins the exact image artifact, which makes deployments reproducible and auditable. It also reduces the risk of silently pulling changed content under the same tag.",reviewed_seed,structured_seed_then_manual_refinement,
Q063,image_and_supply_chain_security,basic,image_and_supply_chain_security__03,Why should I scan images before deployment to Kubernetes?,Pre-deployment scanning helps identify known vulnerabilities and risky packages before the workload reaches the cluster. It is an important early filter in supply-chain defense.,reviewed_seed,structured_seed_then_manual_refinement,
Q064,image_and_supply_chain_security,intermediate,image_and_supply_chain_security__04,How should I control which registries workloads can pull images from?,"Use admission policy, CI/CD controls, and registry allowlists so workloads can pull only from approved image sources. That reduces the chance of running unreviewed or malicious images.",reviewed_seed,structured_seed_then_manual_refinement,
Q065,image_and_supply_chain_security,intermediate,image_and_supply_chain_security__05,What is the risk of running container images as root by default?,Root inside the container increases the impact of a compromise and can make escape attempts more dangerous. Hardening should prefer non-root execution wherever possible.,reviewed_seed,structured_seed_then_manual_refinement,
Q066,image_and_supply_chain_security,intermediate,image_and_supply_chain_security__06,How should I handle base-image updates when new vulnerabilities are disclosed?,"Rebuild from maintained base images, retest, and redeploy rather than patching running containers manually. A repeatable rebuild pipeline is safer than one-off fixes inside containers.",reviewed_seed,structured_seed_then_manual_refinement,
Q067,image_and_supply_chain_security,intermediate,image_and_supply_chain_security__07,Why are signed images or provenance records useful in Kubernetes supply-chain security?,They help verify who built the image and whether the artifact was tampered with between build and deployment. This strengthens trust in the software delivery path.,reviewed_seed,structured_seed_then_manual_refinement,
Q068,image_and_supply_chain_security,intermediate,image_and_supply_chain_security__08,How should I stop developers from deploying unreviewed images directly to the cluster?,"Require CI/CD promotion, enforce registry policy, and use admission checks for approved or signed images. Direct deployment paths should not bypass the release controls.",reviewed_seed,structured_seed_then_manual_refinement,
Q069,image_and_supply_chain_security,advanced,image_and_supply_chain_security__09,What is a safe response when a critical image vulnerability is announced?,"Find which workloads use the affected image, prioritize privileged and internet-facing workloads, rebuild and redeploy patched images, and monitor for exploitation signs during the response window.",reviewed_seed,structured_seed_then_manual_refinement,
Q070,image_and_supply_chain_security,advanced,image_and_supply_chain_security__10,How do SBOMs help in Kubernetes supply-chain security?,SBOMs make impact analysis faster because they show which components and versions are inside each image. That helps security teams identify affected workloads quickly when a dependency issue appears.,reviewed_seed,structured_seed_then_manual_refinement,
Q071,logging_auditing_and_detection,basic,logging_auditing_and_detection__01,What does Kubernetes audit logging record?,Audit logging records API requests and the actions taken by the control plane in response. It is one of the most valuable sources for cluster security investigation.,reviewed_seed,structured_seed_then_manual_refinement,
Q072,logging_auditing_and_detection,basic,logging_auditing_and_detection__02,Why should security logs be exported off the cluster?,An attacker who compromises the cluster may tamper with or delete local logs. Off-cluster storage improves integrity and makes incident investigation more reliable.,reviewed_seed,structured_seed_then_manual_refinement,
Q073,logging_auditing_and_detection,basic,logging_auditing_and_detection__03,What should I log first if I am designing basic Kubernetes security monitoring?,"Start with authentication, authorization, sensitive resource access, workload creation, and configuration changes. Those events usually give the best early security signal.",reviewed_seed,structured_seed_then_manual_refinement,
Q074,logging_auditing_and_detection,intermediate,logging_auditing_and_detection__04,How should I tune audit policy without overwhelming storage and analysis systems?,Use higher detail for high-value events and lower detail or narrower selection for lower-value events. Audit policy should be targeted enough to stay useful over time.,reviewed_seed,structured_seed_then_manual_refinement,
Q075,logging_auditing_and_detection,intermediate,logging_auditing_and_detection__05,Why is kubectl exec activity important to monitor in a production cluster?,"Interactive exec sessions can indicate risky manual behavior or post-compromise activity. In many environments, exec is a high-signal event worth special review.",reviewed_seed,structured_seed_then_manual_refinement,
Q076,logging_auditing_and_detection,intermediate,logging_auditing_and_detection__06,How should I detect suspicious use of service accounts?,"Baseline expected namespaces, verbs, and source patterns, then alert on abnormal token use, strange audiences, unusual API calls, or unexpected administrative actions. Service account misuse often appears as behavior that does not match the workload’s normal role.",reviewed_seed,structured_seed_then_manual_refinement,
Q077,logging_auditing_and_detection,intermediate,logging_auditing_and_detection__07,What is the value of correlating audit logs with workload and network telemetry?,"Correlation helps connect API changes to runtime and network behavior, which makes investigations faster and more accurate. It turns isolated signals into a timeline of activity.",reviewed_seed,structured_seed_then_manual_refinement,
Q078,logging_auditing_and_detection,intermediate,logging_auditing_and_detection__08,How should I protect log pipelines that may contain sensitive cluster information?,"Apply access control, retention rules, encryption, and redaction where possible. Logging systems themselves can become a secondary data-exposure path if they are not protected carefully.",reviewed_seed,structured_seed_then_manual_refinement,
Q079,logging_auditing_and_detection,advanced,logging_auditing_and_detection__09,What cluster actions are strong indicators of potential compromise?,"Examples include unusual secret access, unexpected privilege grants, policy changes, suspicious exec sessions, new privileged pods, and newly exposed services. These are often stronger warning signs than routine application noise.",reviewed_seed,structured_seed_then_manual_refinement,
Q080,logging_auditing_and_detection,advanced,logging_auditing_and_detection__10,How should I design detection coverage for Kubernetes-specific attacks?,"Detection should cover identity misuse, RBAC escalation, secret access, admission or policy changes, node interaction, and suspicious workload behavior. The design should reflect the main attack paths specific to Kubernetes rather than only generic host alerts.",reviewed_seed,structured_seed_then_manual_refinement,
Q081,multi_tenancy_and_isolation,basic,multi_tenancy_and_isolation__01,Why is namespace separation alone not full tenant isolation in Kubernetes?,"Namespaces separate many Kubernetes objects, but they do not isolate every kernel, node, or control-plane risk. Strong tenant isolation needs more than object grouping.",reviewed_seed,structured_seed_then_manual_refinement,
Q082,multi_tenancy_and_isolation,basic,multi_tenancy_and_isolation__02,What is the first rule for safer multi-tenancy in Kubernetes?,Do not share powerful identities or broad permissions across tenants. Identity separation is one of the most important foundations for tenant safety.,reviewed_seed,structured_seed_then_manual_refinement,
Q083,multi_tenancy_and_isolation,basic,multi_tenancy_and_isolation__03,Why should I use resource quotas and limits in a multi-tenant cluster?,"They reduce noisy-neighbor abuse and lower the chance that one tenant can consume shared capacity aggressively. Quotas are not full security controls, but they support tenant stability and resilience.",reviewed_seed,structured_seed_then_manual_refinement,
Q084,multi_tenancy_and_isolation,intermediate,multi_tenancy_and_isolation__04,How should I separate tenant access to secrets and configuration data?,"Use dedicated namespaces, dedicated service accounts, and narrowly scoped RBAC so each tenant can access only its own material. Shared broad readers should be avoided.",reviewed_seed,structured_seed_then_manual_refinement,
Q085,multi_tenancy_and_isolation,intermediate,multi_tenancy_and_isolation__05,What is the risk of placing very different trust levels on the same worker nodes?,"If one workload escapes or abuses the node, co-located tenants may be exposed. Shared-node scheduling increases blast radius when trust boundaries are weak.",reviewed_seed,structured_seed_then_manual_refinement,
Q086,multi_tenancy_and_isolation,intermediate,multi_tenancy_and_isolation__06,"How can taints, tolerations, and node pools help tenant isolation?",They keep selected workloads on selected nodes and reduce unnecessary co-location between different trust groups. This is useful when some tenants or workloads need stronger separation.,reviewed_seed,structured_seed_then_manual_refinement,
Q087,multi_tenancy_and_isolation,intermediate,multi_tenancy_and_isolation__07,Why are shared cluster-wide controllers a multi-tenancy concern?,"Controllers with broad cluster permissions can read or change objects across many tenants. If they are compromised or misconfigured, the blast radius can be large.",reviewed_seed,structured_seed_then_manual_refinement,
Q088,multi_tenancy_and_isolation,intermediate,multi_tenancy_and_isolation__08,How should I handle ingress and shared gateways in multi-tenant environments?,"Shared gateways need strict routing, authentication, and configuration review so one tenant cannot affect another tenant’s exposure. Gateway misconfiguration can become a shared security boundary failure.",reviewed_seed,structured_seed_then_manual_refinement,
Q089,multi_tenancy_and_isolation,advanced,multi_tenancy_and_isolation__09,When should I prefer separate clusters instead of one multi-tenant cluster?,"Separate clusters are often better when trust levels differ strongly, compliance boundaries are strict, or the cost of cross-tenant blast radius is too high. Operational simplicity alone should not override strong isolation requirements.",reviewed_seed,structured_seed_then_manual_refinement,
Q090,multi_tenancy_and_isolation,advanced,multi_tenancy_and_isolation__10,What does defense in depth look like for Kubernetes tenant isolation?,"It combines namespaces, RBAC, network policy, pod security, node isolation, quotas, monitoring, and sometimes separate clusters. No single control is enough by itself for strong tenant separation.",reviewed_seed,structured_seed_then_manual_refinement,
Q091,vulnerability_management_and_incident_response,basic,vulnerability_management_and_incident_response__01,What should I do first when a Kubernetes security issue is reported?,"Confirm scope quickly, identify affected clusters and workloads, and prioritize the most exposed or highest-impact systems first. Early triage should focus on what is actually reachable and risky.",reviewed_seed,structured_seed_then_manual_refinement,
Q092,vulnerability_management_and_incident_response,basic,vulnerability_management_and_incident_response__02,Why is asset inventory important for Kubernetes incident response?,"Without a clear map of workloads, namespaces, images, and owners, teams cannot quickly identify what is affected. Inventory is what turns a report into an actionable response plan.",reviewed_seed,structured_seed_then_manual_refinement,
Q093,vulnerability_management_and_incident_response,basic,vulnerability_management_and_incident_response__03,What is a safe initial containment step for a suspicious workload in Kubernetes?,"A safe first step is to isolate its network reach, stop new rollout if needed, preserve logs and evidence, and reduce exposure without immediately destroying everything. Fast containment should still leave room for investigation.",reviewed_seed,structured_seed_then_manual_refinement,
Q094,vulnerability_management_and_incident_response,intermediate,vulnerability_management_and_incident_response__04,How should I prioritize remediation when many Kubernetes findings appear at once?,"Prioritize internet-facing, privileged, secret-accessing, and business-critical workloads first. Not all findings have the same real-world exposure or blast radius.",reviewed_seed,structured_seed_then_manual_refinement,
Q095,vulnerability_management_and_incident_response,intermediate,vulnerability_management_and_incident_response__05,What evidence should I preserve during a Kubernetes incident?,"Preserve audit logs, workload specs, container image identifiers, node or runtime logs, timelines of changes, and relevant snapshots. Evidence should support both root-cause analysis and scope assessment.",reviewed_seed,structured_seed_then_manual_refinement,
Q096,vulnerability_management_and_incident_response,intermediate,vulnerability_management_and_incident_response__06,How should I respond if a service account token may have been stolen?,"Rotate or revoke the credential, reduce unnecessary permissions, search for token use in logs, and assess which workloads or namespaces may have been affected. The response should cover both containment and scope validation.",reviewed_seed,structured_seed_then_manual_refinement,
Q097,vulnerability_management_and_incident_response,intermediate,vulnerability_management_and_incident_response__07,What is the risk of deleting a compromised pod too quickly during incident response?,Deleting it immediately can destroy useful forensic evidence before you understand the attack path or lateral movement. Containment should be balanced with evidence preservation.,reviewed_seed,structured_seed_then_manual_refinement,
